model,url,num_classes,input_size,pool_size,crop_pct,interpolation,mean,std,first_conv,classifier,has_aux,label_offset,architecture,min_input_size,fixed_input_size,test_input_size,hf_hub
adv_inception_v3,https://github.com/rwightman/pytorch-image-models/releases/download/v0.1-weights/adv_inception_v3-9e27bd63.pth,1000,"(3, 299, 299)","(8, 8)",0.875,bicubic,"(0.5, 0.5, 0.5)","(0.5, 0.5, 0.5)",Conv2d_1a_3x3.conv,fc,False,1.0,adv_inception_v3,,,,
bat_resnext26ts,,1000,"(3, 256, 256)","(8, 8)",0.875,bicubic,"(0.485, 0.456, 0.406)","(0.229, 0.224, 0.225)",stem.conv1.conv,head.fc,,,bat_resnext26ts,"(3, 256, 256)",,,
botnet26t_256,,1000,"(3, 256, 256)","(8, 8)",0.875,bicubic,"(0.485, 0.456, 0.406)","(0.229, 0.224, 0.225)",stem.conv1.conv,head.fc,,,botnet26t_256,"(3, 224, 224)",True,,
botnet50ts_256,,1000,"(3, 256, 256)","(8, 8)",0.875,bicubic,"(0.485, 0.456, 0.406)","(0.229, 0.224, 0.225)",stem.conv1.conv,head.fc,,,botnet50ts_256,"(3, 224, 224)",True,,
cait_m36_384,https://dl.fbaipublicfiles.com/deit/M36_384.pth,1000,"(3, 384, 384)",,1.0,bicubic,"(0.485, 0.456, 0.406)","(0.229, 0.224, 0.225)",patch_embed.proj,head,,,cait_m36_384,,True,,
cait_m48_448,https://dl.fbaipublicfiles.com/deit/M48_448.pth,1000,"(3, 448, 448)",,1.0,bicubic,"(0.485, 0.456, 0.406)","(0.229, 0.224, 0.225)",patch_embed.proj,head,,,cait_m48_448,,True,,
cait_s24_224,https://dl.fbaipublicfiles.com/deit/S24_224.pth,1000,"(3, 224, 224)",,1.0,bicubic,"(0.485, 0.456, 0.406)","(0.229, 0.224, 0.225)",patch_embed.proj,head,,,cait_s24_224,,True,,
cait_s24_384,https://dl.fbaipublicfiles.com/deit/S24_384.pth,1000,"(3, 384, 384)",,1.0,bicubic,"(0.485, 0.456, 0.406)","(0.229, 0.224, 0.225)",patch_embed.proj,head,,,cait_s24_384,,True,,
cait_s36_384,https://dl.fbaipublicfiles.com/deit/S36_384.pth,1000,"(3, 384, 384)",,1.0,bicubic,"(0.485, 0.456, 0.406)","(0.229, 0.224, 0.225)",patch_embed.proj,head,,,cait_s36_384,,True,,
cait_xs24_384,https://dl.fbaipublicfiles.com/deit/XS24_384.pth,1000,"(3, 384, 384)",,1.0,bicubic,"(0.485, 0.456, 0.406)","(0.229, 0.224, 0.225)",patch_embed.proj,head,,,cait_xs24_384,,True,,
cait_xxs24_224,https://dl.fbaipublicfiles.com/deit/XXS24_224.pth,1000,"(3, 224, 224)",,1.0,bicubic,"(0.485, 0.456, 0.406)","(0.229, 0.224, 0.225)",patch_embed.proj,head,,,cait_xxs24_224,,True,,
cait_xxs24_384,https://dl.fbaipublicfiles.com/deit/XXS24_384.pth,1000,"(3, 384, 384)",,1.0,bicubic,"(0.485, 0.456, 0.406)","(0.229, 0.224, 0.225)",patch_embed.proj,head,,,cait_xxs24_384,,True,,
cait_xxs36_224,https://dl.fbaipublicfiles.com/deit/XXS36_224.pth,1000,"(3, 224, 224)",,1.0,bicubic,"(0.485, 0.456, 0.406)","(0.229, 0.224, 0.225)",patch_embed.proj,head,,,cait_xxs36_224,,True,,
cait_xxs36_384,https://dl.fbaipublicfiles.com/deit/XXS36_384.pth,1000,"(3, 384, 384)",,1.0,bicubic,"(0.485, 0.456, 0.406)","(0.229, 0.224, 0.225)",patch_embed.proj,head,,,cait_xxs36_384,,True,,
coat_lite_mini,https://github.com/rwightman/pytorch-image-models/releases/download/v0.1-coat-weights/coat_lite_mini-d7842000.pth,1000,"(3, 224, 224)",,0.9,bicubic,"(0.485, 0.456, 0.406)","(0.229, 0.224, 0.225)",patch_embed1.proj,head,,,coat_lite_mini,,True,,
coat_lite_small,https://github.com/rwightman/pytorch-image-models/releases/download/v0.1-coat-weights/coat_lite_small-fea1d5a1.pth,1000,"(3, 224, 224)",,0.9,bicubic,"(0.485, 0.456, 0.406)","(0.229, 0.224, 0.225)",patch_embed1.proj,head,,,coat_lite_small,,True,,
coat_lite_tiny,https://github.com/rwightman/pytorch-image-models/releases/download/v0.1-coat-weights/coat_lite_tiny-461b07a7.pth,1000,"(3, 224, 224)",,0.9,bicubic,"(0.485, 0.456, 0.406)","(0.229, 0.224, 0.225)",patch_embed1.proj,head,,,coat_lite_tiny,,True,,
coat_mini,https://github.com/rwightman/pytorch-image-models/releases/download/v0.1-coat-weights/coat_mini-2c6baf49.pth,1000,"(3, 224, 224)",,0.9,bicubic,"(0.485, 0.456, 0.406)","(0.229, 0.224, 0.225)",patch_embed1.proj,head,,,coat_mini,,True,,
coat_tiny,https://github.com/rwightman/pytorch-image-models/releases/download/v0.1-coat-weights/coat_tiny-473c2a20.pth,1000,"(3, 224, 224)",,0.9,bicubic,"(0.485, 0.456, 0.406)","(0.229, 0.224, 0.225)",patch_embed1.proj,head,,,coat_tiny,,True,,
convit_base,https://dl.fbaipublicfiles.com/convit/convit_base.pth,1000,"(3, 224, 224)",,,,"(0.485, 0.456, 0.406)","(0.229, 0.224, 0.225)",patch_embed.proj,head,,,convit_base,,True,,
convit_small,https://dl.fbaipublicfiles.com/convit/convit_small.pth,1000,"(3, 224, 224)",,,,"(0.485, 0.456, 0.406)","(0.229, 0.224, 0.225)",patch_embed.proj,head,,,convit_small,,True,,
convit_tiny,https://dl.fbaipublicfiles.com/convit/convit_tiny.pth,1000,"(3, 224, 224)",,,,"(0.485, 0.456, 0.406)","(0.229, 0.224, 0.225)",patch_embed.proj,head,,,convit_tiny,,True,,
